,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,Pday,Pmonth,Pyear,Phour,Dday,Dmonth,Dyear,Dhour,trip
0,1,1.6,7.0,2.15,0.0,12.95,yellow,credit card,Lenox Hill West,UN/Turtle Bay South,Manhattan,Manhattan,5,3,2019,20,5,3,2019,20,ManhattanManhattan
1,1,0.79,5.0,0.0,0.0,9.3,yellow,cash,Upper West Side South,Upper West Side South,Manhattan,Manhattan,0,3,2019,16,0,3,2019,16,ManhattanManhattan
2,1,1.37,7.5,2.36,0.0,14.16,yellow,credit card,Alphabet City,West Village,Manhattan,Manhattan,2,3,2019,17,2,3,2019,18,ManhattanManhattan
3,1,7.7,27.0,6.15,0.0,36.95,yellow,credit card,Hudson Sq,Yorkville West,Manhattan,Manhattan,6,3,2019,1,6,3,2019,1,ManhattanManhattan
4,3,2.16,9.0,1.1,0.0,13.4,yellow,credit card,Midtown East,Yorkville West,Manhattan,Manhattan,5,3,2019,13,5,3,2019,13,ManhattanManhattan
5,1,0.49,7.5,2.16,0.0,12.96,yellow,credit card,Times Sq/Theatre District,Midtown East,Manhattan,Manhattan,0,3,2019,10,0,3,2019,10,ManhattanManhattan
6,1,3.65,13.0,2.0,0.0,18.8,yellow,credit card,Battery Park City,Two Bridges/Seward Park,Manhattan,Manhattan,1,3,2019,21,1,3,2019,21,ManhattanManhattan
8,1,3.63,15.0,1.0,0.0,19.3,yellow,credit card,East Harlem South,Midtown Center,Manhattan,Manhattan,5,3,2019,11,5,3,2019,12,ManhattanManhattan
9,1,1.52,8.0,1.0,0.0,13.3,yellow,credit card,Lincoln Square East,Central Park,Manhattan,Manhattan,4,3,2019,16,4,3,2019,16,ManhattanManhattan
10,1,3.9,17.0,0.0,0.0,17.8,yellow,cash,LaGuardia Airport,Astoria,Queens,Queens,5,3,2019,10,5,3,2019,10,QueensQueens
11,1,1.53,6.5,2.16,0.0,12.96,yellow,credit card,Upper West Side South,Manhattan Valley,Manhattan,Manhattan,2,3,2019,19,2,3,2019,19,ManhattanManhattan
12,1,1.05,6.5,1.0,0.0,11.3,yellow,credit card,Murray Hill,Midtown Center,Manhattan,Manhattan,0,3,2019,21,0,3,2019,21,ManhattanManhattan
13,1,1.75,10.5,0.0,0.0,13.8,yellow,cash,Lincoln Square West,Times Sq/Theatre District,Manhattan,Manhattan,1,3,2019,7,1,3,2019,8,ManhattanManhattan
15,3,2.09,13.5,0.0,0.0,16.8,yellow,cash,Upper West Side North,Clinton East,Manhattan,Manhattan,5,3,2019,17,5,3,2019,18,ManhattanManhattan
16,1,2.12,13.0,0.0,0.0,16.3,yellow,cash,East Chelsea,Meatpacking/West Village West,Manhattan,Manhattan,4,3,2019,12,4,3,2019,12,ManhattanManhattan
17,1,2.6,10.5,2.0,0.0,16.3,yellow,credit card,Midtown Center,East Harlem South,Manhattan,Manhattan,5,3,2019,20,5,3,2019,21,ManhattanManhattan
18,1,2.18,9.5,1.92,0.0,14.72,yellow,credit card,Gramercy,Midtown Center,Manhattan,Manhattan,2,3,2019,6,2,3,2019,6,ManhattanManhattan
19,6,1.08,6.5,1.08,0.0,11.38,yellow,credit card,East Chelsea,East Chelsea,Manhattan,Manhattan,0,3,2019,22,0,3,2019,22,ManhattanManhattan
20,1,1.07,6.5,1.54,0.0,11.84,yellow,credit card,Penn Station/Madison Sq West,Kips Bay,Manhattan,Manhattan,3,3,2019,3,3,3,2019,3,ManhattanManhattan
21,1,0.8,5.5,2.3,0.0,11.6,yellow,credit card,Penn Station/Madison Sq West,Murray Hill,Manhattan,Manhattan,0,3,2019,23,0,3,2019,23,ManhattanManhattan
22,1,9.82,31.5,8.31,5.76,49.87,yellow,credit card,LaGuardia Airport,Sutton Place/Turtle Bay North,Queens,Manhattan,3,3,2019,17,3,3,2019,17,QueensManhattan
23,5,1.09,8.5,2.36,0.0,14.16,yellow,credit card,Sutton Place/Turtle Bay North,Midtown North,Manhattan,Manhattan,0,3,2019,12,0,3,2019,12,ManhattanManhattan
24,5,2.89,9.5,3.84,0.0,16.64,yellow,credit card,Lenox Hill West,Gramercy,Manhattan,Manhattan,6,3,2019,9,6,3,2019,10,ManhattanManhattan
25,1,1.9,10.0,3.0,0.0,16.3,yellow,credit card,Lincoln Square East,Midtown South,Manhattan,Manhattan,0,3,2019,8,0,3,2019,8,ManhattanManhattan
26,1,3.35,13.5,0.0,0.0,17.3,yellow,cash,West Chelsea/Hudson Yards,Seaport,Manhattan,Manhattan,6,3,2019,2,6,3,2019,3,ManhattanManhattan
27,1,2.6,12.5,3.26,0.0,19.56,yellow,credit card,Clinton East,Lenox Hill West,Manhattan,Manhattan,5,3,2019,20,5,3,2019,20,ManhattanManhattan
28,1,4.71,17.5,0.0,0.0,18.3,yellow,credit card,Clinton West,East Harlem North,Manhattan,Manhattan,2,3,2019,12,2,3,2019,12,ManhattanManhattan
29,1,0.92,12.0,0.0,0.0,15.3,yellow,cash,UN/Turtle Bay South,Garment District,Manhattan,Manhattan,2,3,2019,8,2,3,2019,8,ManhattanManhattan
30,1,1.84,7.0,2.06,0.0,12.36,yellow,credit card,Lenox Hill West,East Harlem South,Manhattan,Manhattan,6,3,2019,15,6,3,2019,15,ManhattanManhattan
